DT Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.8449139620997604,0.828397212543554,0.4688321983103726,0.4353667070242634,0.8319826497278253,0.8098878088673475
1,43,0.8455674145066434,0.8266550522648084,0.5206531489597406,0.4630842010994343,0.8439770742844347,0.8231572253715246
2,44,0.8390328904378132,0.828397212543554,0.48435685422822405,0.46706116865534913,0.83490430672899,0.8217658569901922
3,45,0.8455674145066434,0.837979094076655,0.4915665470839351,0.43555072675367323,0.8343020397707752,0.8308063003103913
4,46,0.837508168155086,0.8475609756097561,0.44548941394891656,0.4811392845525392,0.8229863281229525,0.831375735582565
5,47,0.8483990416031366,0.8327526132404182,0.5262260265015931,0.47521522900493,0.8456612875062797,0.8305456111115541
6,48,0.8427357874101503,0.837979094076655,0.4470142286541706,0.47625165986468565,0.8240650715246688,0.8236316345117366
7,49,0.8442605096928774,0.823170731707317,0.5104190770141307,0.4580432653326756,0.8404008799468784,0.8247027068822298
8,50,0.835765628403398,0.8423344947735192,0.4156209164405142,0.46942636652830094,0.8126917192032856,0.821863312819192
9,51,0.8394685253757351,0.818815331010453,0.4884617986176797,0.46563706041228603,0.8362224654482201,0.8166982628351629
