RF Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9732084513177957,0.8484320557491289,0.9165550431769762,0.5221896220989666,0.9728591147133983,0.8391756170620884
1,43,0.9734262687867566,0.8405923344947736,0.9173560823714102,0.49797089806452216,0.9731540228326775,0.8313619261392021
2,44,0.9719015465040296,0.8414634146341463,0.9125948077117181,0.4983218254016097,0.9716196549608882,0.831441687900158
3,45,0.9736440862557177,0.8493031358885017,0.9180744605758541,0.5291490180767137,0.9733908598210741,0.8415064931585035
4,46,0.9729906338488347,0.8519163763066202,0.9161361098480333,0.5371149264024144,0.9727709675473986,0.844104969643633
5,47,0.9732084513177957,0.8466898954703833,0.9167684632300568,0.5137787012704825,0.9729736722108202,0.8363297050097008
6,48,0.9734262687867566,0.8571428571428571,0.9172251979726117,0.5539842614732716,0.973062427564279,0.8496071471856226
7,49,0.9738619037246787,0.8493031358885017,0.9187435553367788,0.5246114605459673,0.9736052287795833,0.8399389217220156
8,50,0.9714659115661076,0.8484320557491289,0.9112934586486532,0.5240024918034787,0.9712038281770015,0.8398137083209027
9,51,0.9734262687867566,0.8501742160278746,0.9172764375975216,0.5262042807550066,0.9731085045091616,0.8403782541985755
