RF_RUS Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9707757704569607,0.8179442508710801,0.9418840050868246,0.5365657566899,0.9707706127045471,0.8262969304469063
1,43,0.9750265674814028,0.8092334494773519,0.9502082103303203,0.5018538279361774,0.9750245296310884,0.8168111203089504
2,44,0.971307120085016,0.7979094076655052,0.9429742548425467,0.4913842823987044,0.9713016428106702,0.8079217890561654
3,45,0.975557917109458,0.7918118466898955,0.9511695449366533,0.481581596319493,0.9755572270107153,0.8026878700556763
4,46,0.9681190223166843,0.8057491289198606,0.9364093777262774,0.506004303275137,0.9681161057149312,0.8148232703201724
5,47,0.9718384697130712,0.794425087108014,0.9437670058617675,0.49993911600722213,0.9718371259446235,0.8061242922515781
6,48,0.9707757704569607,0.7909407665505227,0.9420628834485336,0.4748643254993854,0.9707678391443233,0.8014623221067371
7,49,0.9718384697130712,0.8031358885017421,0.9438693611579703,0.5068252766176228,0.9718355991408313,0.8130436866505109
8,50,0.9686503719447397,0.8013937282229965,0.9375342351156678,0.49021940335475084,0.9686464681603724,0.8102531582119339
9,51,0.9750265674814028,0.8005226480836237,0.9502082103303203,0.5008437001858073,0.9750245296310884,0.810639361127452
