SVM RBF Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9736440862557177,0.7961672473867596,0.9179054716977307,0.24831200868271297,0.9731842454026722,0.7402409388226732
1,43,0.9740797211936397,0.7979094076655052,0.9199986656113492,0.2264114266432092,0.9735884955896034,0.7480059323313973
2,44,0.9734262687867566,0.8083623693379791,0.917433380523406,0.31088262253380816,0.9728862338079547,0.7595682879643685
3,45,0.9705946416902635,0.8249128919860628,0.9108836517188532,0.2763288317806747,0.9699692777026625,0.7828216685890331
4,46,0.9723371814419517,0.813588850174216,0.9146661553499614,0.3015999019271826,0.9718641793391053,0.7699469739904633
5,47,0.9749509910694838,0.8127177700348432,0.9232344537861298,0.29077946659442516,0.974493138182438,0.7750521448085487
6,48,0.9727728163798737,0.794425087108014,0.9151843497954231,0.2440100556416537,0.9722363744046127,0.7419392175181
7,49,0.9721193639729906,0.8196864111498258,0.9148034523904959,0.29765047099603686,0.9715717907567876,0.7800736704106904
8,50,0.9708124591592245,0.8048780487804879,0.9093827661512258,0.27837239126453217,0.9702361723888719,0.7563900825112468
9,51,0.9727728163798737,0.8101045296167247,0.9150584762655963,0.3396594696872472,0.9722222634749356,0.7704213332796832
