RF Model Performance,Seed No.,Train AC,Test AC,CV AC,Train MCC,Test MCC,Cv MCC,Train F1,Test F1,CV F1
0,42,0.9734262687867566,0.8475609756097561,0.8562383096147418,0.9172472303135816,0.5188786568763615,0.5341639900527542,0.9834284161912524,0.9058633674018288,0.9137926494930658
1,43,0.9723371814419517,0.8449477351916377,0.8564568857406339,0.9137970230532579,0.5062056894883059,0.5289262242024828,0.9827562797012899,0.904710920770878,0.9152219747627761
2,44,0.9725549989109127,0.8536585365853658,0.8586357720454885,0.9145383595081026,0.5401749507945606,0.5217708897979705,0.9828757814623539,0.9094827586206896,0.9125618165031396
3,45,0.9712480940971466,0.8484320557491289,0.859290315086257,0.9103418715573097,0.5221896220989666,0.5290243408276716,0.9820846905537459,0.9063509149623251,0.9095088940747094
4,46,0.9729906338488347,0.8484320557491289,0.8566761730686714,0.9158418910106867,0.5213040468205815,0.5440207790073056,0.9831704668838219,0.9064516129032258,0.9130110479914719
5,47,0.9701590067523416,0.8501742160278746,0.8621216108254449,0.9073679198337778,0.522215303242086,0.5258260380734548,0.9813275180591522,0.908119658119658,0.9169758573358363
6,48,0.9732084513177957,0.8527874564459931,0.8571116658487842,0.9167392978515603,0.536077067885179,0.5344070136890842,0.9832539142273655,0.909090909090909,0.9140640305915608
7,49,0.9719015465040296,0.8493031358885017,0.8536253529340645,0.9123810171406582,0.5228950557261337,0.5196627596456711,0.9825037298250372,0.9071390230810521,0.9160301844078822
8,50,0.9727728163798737,0.8501742160278746,0.8605991641004123,0.915159215464969,0.5314918147121287,0.5367229767502468,0.9830324419709515,0.907027027027027,0.912229753300451
9,51,0.9749509910694838,0.8510452961672473,0.8603796397049933,0.9221622999159592,0.5303442642155731,0.5423507247837438,0.98434735266095,0.9080150618612157,0.9122334728335618
