RF_CWB Model Performance,Seed No.,Train AC,Test AC,CV AC,Train MCC,Test MCC,CV MCC,Train F1,Test F1,CV F1
0,42,0.9734262687867566,0.8414634146341463,0.8551511186024404,0.9188763357427593,0.4993089470543248,0.5227258668423784,0.9734885742876468,0.831781392559196,0.912096270426038
1,43,0.9712480940971466,0.8466898954703833,0.8562406802885585,0.9114508889415612,0.5173939786218941,0.5131989526994001,0.971190965622988,0.8376516880932355,0.9167781161434887
2,44,0.9712480940971466,0.8458188153310104,0.8625590001446112,0.9110561562778401,0.5169449927369668,0.5150757505956082,0.9711095067866912,0.8375286952163989,0.9116950357341217
3,45,0.9710302766281855,0.8475609756097561,0.8571109546466392,0.9118448326600477,0.5264835626749161,0.5300385299513743,0.9711372503439064,0.840581543012557,0.913387307845829
4,46,0.9712480940971466,0.8432055749128919,0.8586369573823968,0.9111077825043813,0.5050291158154853,0.5376586306151176,0.9711212505581248,0.833629948684919,0.9164715640924603
5,47,0.9686342844696144,0.8388501742160279,0.8584174329869778,0.9032653054185026,0.49334134030024834,0.5335555563988154,0.9685467661342809,0.8298540971248238,0.912790415357355
6,48,0.9679808320627314,0.8493031358885017,0.8629925963856706,0.9014925772054583,0.5300960612485609,0.5347847460360666,0.9679363998984453,0.8418090241189528,0.9186636628836646
7,49,0.9708124591592245,0.8527874564459931,0.856677832540343,0.9099269977873198,0.5386108771916965,0.5254990573236167,0.9707192414001001,0.8445694184545687,0.9131754948182926
8,50,0.9701590067523416,0.8536585365853658,0.8608146583503429,0.9078793805883322,0.5436207452140935,0.5278980428715359,0.9700576678592878,0.8462345581248021,0.9150863876868052
9,51,0.9751688085384448,0.8432055749128919,0.8566761730686713,0.9239329925706866,0.5142182380698963,0.5434476071011142,0.9751883338649805,0.8364811153015094,0.9149100000289467
