KNN Model Performance,Seed No.,Train AC,Test AC,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9194075364844261,0.8545296167247387,0.8402635468921483,0.7222101398678866,0.9169272957836323,0.847295416346041
1,43,0.9209322587671531,0.8588850174216028,0.8402637022998857,0.6985177618985785,0.9182099294031203,0.8487158260895047
2,44,0.9191897190154651,0.8719512195121951,0.8360160002057088,0.7518931605154632,0.9163719214849753,0.8657607457668473
3,45,0.917447179263777,0.8702090592334495,0.8352093818144496,0.7618754896399561,0.9144377785210086,0.8684275195475102
4,46,0.9137442822914398,0.8658536585365854,0.8265257151737495,0.7439638012343501,0.9105967706561623,0.8607040995428755
5,47,0.918754084077543,0.8797909407665505,0.8403612101210335,0.7677337707367742,0.9161879898031268,0.8755155033156709
6,48,0.9152690045741668,0.8632404181184669,0.8285455365705221,0.7391698990923165,0.9122625635060687,0.856710729286577
7,49,0.9178828142016989,0.8641114982578397,0.8436791422929484,0.7471077128771478,0.9156215217383553,0.8607283260141001
8,50,0.9137442822914398,0.867595818815331,0.8252751536515308,0.7477654885099015,0.9105616665781254,0.8619633054720007
9,51,0.92027880636027,0.8684668989547039,0.8308787293158579,0.7619160356650774,0.9169704058588278,0.8637477455090475
