RF Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9592050209205021,0.7887029288702929,0.9191483697173307,0.5777595422351806,0.9591922963620392,0.7884499761358594
1,43,0.9649581589958159,0.7573221757322176,0.9300569635054193,0.5169968469268633,0.9649540844957991,0.7570671057583879
2,44,0.9743723849372385,0.7447698744769874,0.9487580825471157,0.49338440421388674,0.974372349886067,0.7434756815416101
3,45,0.9633891213389121,0.7531380753138075,0.9268802725880578,0.5081509060053002,0.9633879996820904,0.752357086378847
4,46,0.9660041841004184,0.7552301255230126,0.9320607120907451,0.50897732064434,0.9660067418418689,0.7554483983647816
5,47,0.9633891213389121,0.7949790794979079,0.9268952114083567,0.5950875759875923,0.9633843131386832,0.7946270320804492
6,48,0.9701882845188284,0.7782426778242678,0.9405563797441773,0.556722876074058,0.9701841002924869,0.7782543247424493
7,49,0.9660041841004184,0.7531380753138075,0.9321129132516145,0.5084969365458163,0.9659961158774156,0.7534408566203682
8,50,0.9701882845188284,0.7552301255230126,0.9403757787349247,0.5104876080046828,0.970188211124361,0.7550058741158081
9,51,0.9612970711297071,0.7928870292887029,0.9226089268922398,0.587636535268657,0.9612961817839716,0.7927482908110172
