KNN Model Performance,Seed No.,Train AS,Test AS,Train MCC,Test MCC,Train F1,Test F1
0,42,0.9133086473535178,0.8562717770034843,0.7221363028338158,0.5499282614145585,0.9106829801579222,0.848248248787005
1,43,0.9141799172293618,0.8623693379790941,0.7267447436531439,0.5565416160863896,0.9114141954087088,0.8549326714967461
2,44,0.9161402744500109,0.8702090592334495,0.7306592284595015,0.5944448919912243,0.9131741894721218,0.8636734618944172
3,45,0.9109126551949467,0.8806620209059234,0.7217859271127547,0.6011503796253144,0.908047429559078,0.8785602686957977
4,46,0.9093879329122195,0.8719512195121951,0.7111742030153624,0.596037309098773,0.906216037234305,0.8683895524019686
5,47,0.9122195600087127,0.8719512195121951,0.7242863346367737,0.5890834295468564,0.9100640060426338,0.8682762038206935
6,48,0.917447179263777,0.8527874564459931,0.7343913116837953,0.5386108771916965,0.9144764588562138,0.8445694184545687
7,49,0.9122195600087127,0.8623693379790941,0.7247316366161762,0.5516910751702657,0.9098023163410007,0.8589427917322295
8,50,0.9113482901328687,0.8693379790940766,0.7161363714333162,0.5887391830325055,0.908320535099243,0.8635209475171547
9,51,0.9154868220431278,0.8554006968641115,0.72718331076306,0.563270829508031,0.9123285479084208,0.8513627589872721
