MLP Model Performance,Seed No.,Train EVS,Test EVS,Train R2,Test R2,Train MSE,Test MSE
0,42,0.6376824041822197,0.44062618823403754,0.6313225740022452,0.43728608923579804,0.7079216582748193,1.1122651696631933
1,43,0.6304329675058167,0.3894890354845244,0.6236243337829286,0.38480862915426584,0.7312935280044519,1.1597772689819144
2,44,0.6266454647288324,0.43015571906760874,0.6257057169133842,0.4296438905198746,0.728743516891068,1.0663979931980652
3,45,0.6196935827846428,0.4026341995529936,0.6196816628677546,0.402535248596095,0.7360052480856635,1.1448648730758004
4,46,0.6086034791190813,0.43570885113444535,0.608427702434813,0.43512612829737507,0.7430943358496729,1.1675641601319668
5,47,0.6545463942491725,0.40988304071453896,0.6511562064551102,0.40909586598848313,0.6755819230254808,1.1263198827341498
6,48,0.6324314401164023,0.39134525873797066,0.6322553939755948,0.3909241006853783,0.7188000765101483,1.1196021039866977
7,49,0.6394745717295038,0.41474621305453574,0.638164683907643,0.41255220207794396,0.6949523693973405,1.1598022878492134
8,50,0.6295794898110683,0.4056033014332582,0.6269950531137071,0.40524308118145447,0.722930059446286,1.1331740775695454
9,51,0.5945542959443126,0.37190727535169,0.5764471832466116,0.3618037443792923,0.8246383225759885,1.1901162560549747
